rank,canonical_drug_id,drug_name,target_genes,target_match_genes,target_gene_match_rate,target_expression_pct,target_expressed,survival_p_value,survival_direction,known_paad_control,clinical_trial_mention_count,ensemble_score,mean_pred_ln_ic50,prism_compound_ids,prism_pancreatic_cell_lines,prism_observations,prism_mean_log2fc,prism_sensitive_fraction_lt_minus1,prism_has_evidence,opentargets_target_ids,opentargets_max_score,opentargets_evidence_count,canonical_smiles,PATHWAY_NAME_NORMALIZED,classification,screened_rows,tcga_gtex_matched_genes,tcga_gtex_mean_delta,tcga_gtex_support_fraction,gse62452_matched_genes,gse62452_mean_delta,gse62452_support_fraction,gse71729_matched_genes,gse71729_mean_delta,gse71729_support_fraction,cptac_proteomics_matched_genes,cptac_proteomics_mean_delta,cptac_proteomics_support_fraction,rppa_matched_genes,rppa_rppa_mean_z,rppa_rppa_positive_fraction,cbio_matched_genes,cbio_cbio_mutation_count,cbio_cbio_mutated_samples,string_matched_genes,string_string_paad_seed_max_score,msigdb_matched_genes,msigdb_paad_hallmark_count,msigdb_paad_hallmarks,sider_cids,sider_has_match,sider_side_effect_count,sider_serious_keyword_count,sider_serious_examples,admet_coverage,toxicity_flags,low_confidence_toxic_signals,admet_category,model_rank_bonus,tcga_gtex_bonus,geo_reproducibility_bonus,cptac_proteomics_bonus,rppa_bonus,string_bonus,msigdb_bonus,clinical_trial_bonus,prism_bonus,opentargets_bonus,admet_bonus,sider_penalty,external_source_support_count,external_v2_score,tier_v2,external_v2_category,admet_filter,pdac_4tier,tier_label,caution,info,measured,minor,no_data,pass
1,1811,Dactinomycin,TOP1;TOP2A,TOP1;TOP2A,1.0,0.9344262295081968,True,0.5066203415801449,high_expression_longer_survival,False,0,3.410834,-3.410834,BRD:BRD-K70578146-001-06-7,44,33,-5.154912073632437,1.0,True,ENSG00000131747;ENSG00000198900,0.4620200344835226,285,Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O,Other,screened_candidate,24,TOP1;TOP2A,0.5126660473712505,0.5,TOP1;TOP2A,0.8038499999999997,1.0,TOP1;TOP2A,0.5312500000000002,0.5,TOP1;TOP2A,0.3204656264741246,0.5,,,,TOP2A,1.0,1.0,TOP1;TOP2A,1.0,TOP1;TOP2A,2,"HALLMARK_G2M_CHECKPOINT;gene
TOP2A    HALLMARK_MITOTIC_SPINDLE
TOP2A     HALLMARK_G2M_CHECKPOINT
TOP2A          HALLMARK_APOPTOSIS
Name: msigdb_paad_hallmark, dtype: object",,False,0,0,,0.2272727272727272,dili,herg,Caution,1.0,0.2563330236856252,0.4450333333333333,0.2136437509827497,0.0,1.0,0.6666666666666666,0.0,1.0,0.4620200344835226,-0.4,0.0,8,2.5073827268206776,Tier 2,Multi-source external evidence candidate,CAUTION,Tier 3,repurposing_candidate,1.0,1.0,1.0,0.0,17.0,2.0
2,1819,Docetaxel,BCL2;NR1I2;TUBB1,BCL2;NR1I2;TUBB1,1.0,0.0,False,0.5165761361192062,high_expression_shorter_survival,True,849,3.0917828,-3.0917828,BRD:BRD-K30577245-001-04-3;BRD:BRD-K30577245-341-01-9,44,69,-1.869228663550261,0.6956521739130435,True,ENSG00000101162;ENSG00000144852;ENSG00000171791,0.4049351136576385,617,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C.O.O.O,Mitosis,paad_standard_or_known,24,BCL2;NR1I2;TUBB1,0.8177714490308315,0.6666666666666666,BCL2;NR1I2;TUBB1,0.0458833333333331,0.3333333333333333,BCL2;NR1I2;TUBB1,0.1836666666666665,0.3333333333333333,BCL2;TUBB1,-0.2107174433097238,0.0,BCL2,-4.098360655743169e-06,0.5163934426229508,BCL2;NR1I2;TUBB1,2.0,1.0,BCL2;NR1I2;TUBB1,0.6193333333333333,BCL2,1,HALLMARK_HYPOXIA,CID100003143,True,302,40,Acute pulmonary oedema;Arrhythmia;Candida infection;Cardiac disorder;Cardiac failure;Cardiac failure congestive;Coma hepatic;Death,0.5454545454545454,dili,herg,Caution,0.98,0.4088857245154157,0.0765166666666665,0.0,0.0,0.6193333333333333,0.3333333333333333,1.0,0.9346143317751304,0.4049351136576385,-0.4,0.25,6,2.056295596567925,Excluded,Known PAAD control/support,CAUTION,Tier 2,paad_research_or_clinical_evidence,1.0,4.0,4.0,0.0,10.0,3.0
3,1862,MG-132,CAPN1;PROTEASOME,CAPN1,0.5,1.0,True,0.1763312229329743,high_expression_shorter_survival,False,0,1.7313924,-1.7313924,BRD:BRD-K60230970-001-17-5,44,33,-3.228183696364818,0.9696969696969696,True,ENSG00000014216,0.014783194187388,3,CC(C)C[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,Protein stability and degradation,screened_candidate,29,CAPN1,-2.5616264990288053,0.0,CAPN1,0.4207700000000001,1.0,CAPN1,0.4289999999999998,1.0,CAPN1,0.3098717557654495,1.0,,,,CAPN1,1.0,1.0,CAPN1,0.938,,0,,,False,0,0,,0.1363636363636363,,dili;herg,Candidate,0.96,0.0,0.2832566666666666,0.2065811705102997,0.0,0.938,0.0,0.0,1.0,0.014783194187388,0.4,0.0,6,2.489638923408201,Tier 2,Multi-source external evidence candidate,KEEP,Tier 3,repurposing_candidate,0.0,0.0,0.0,1.0,19.0,2.0
4,1808,Topotecan,TOP1;TOP1MT,TOP1;TOP1MT,1.0,0.9453551912568308,True,0.4738871605229801,high_expression_longer_survival,True,58,1.0372775,-1.0372775,BRD:BRD-K55696337-003-24-4,44,37,-1.5126952363200812,0.7297297297297297,True,ENSG00000184428;ENSG00000198900,0.4620200344835226,243,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,DNA replication,paad_standard_or_known,24,TOP1;TOP1MT,-0.6739259502926969,0.0,TOP1;TOP1MT,0.1589949999999995,0.5,TOP1;TOP1MT,0.1765000000000003,0.0,TOP1;TOP1MT,-0.0913251111010016,0.0,,,,,,,TOP1;TOP1MT,0.982,TOP1,1,HALLMARK_G2M_CHECKPOINT,CID100005515,True,112,14,Cardiac arrest;Febrile neutropenia;Heartburn;Hepatic pain;Infection;Leukopenia;Myelosuppression;Neuropathy,0.4545454545454545,,ames,Candidate,0.94,0.0,0.1118316666666666,0.0,0.0,0.982,0.3333333333333333,1.0,0.7563476181600406,0.4620200344835226,0.4,0.0875,6,2.775249038838941,Tier 2,Known PAAD control/support,KEEP,Tier 2,paad_research_or_clinical_evidence,0.0,1.0,4.0,0.0,12.0,5.0
5,1004,Vinblastine,JUN;TUBA1A;TUBB;TUBB2A;TUBD1;TUBE1;TUBG1,JUN;TUBA1A;TUBB;TUBB2A;TUBD1;TUBE1;TUBG1,1.0,0.9836065573770492,True,0.4225550222113052,high_expression_shorter_survival,False,11,0.3808337,-0.3808337,BRD:BRD-K06519765-001-01-1,44,37,-0.3885278094249714,0.1351351351351351,True,ENSG00000074935;ENSG00000108423;ENSG00000131462;ENSG00000137267;ENSG00000167552;ENSG00000177606;ENSG00000196230,0.4049351136576385,824,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,Mitosis,paad_trial_or_indication,28,JUN;TUBA1A;TUBB;TUBB2A;TUBD1;TUBE1;TUBG1,-1.6512584831197157,0.0,JUN;TUBA1A;TUBB;TUBB2A;TUBD1;TUBE1;TUBG1,0.0093480952380953,0.1428571428571428,JUN;TUBA1A;TUBB;TUBB2A;TUBD1;TUBE1;TUBG1,-0.1216428571428571,0.0,JUN;TUBA1A;TUBB;TUBB2A;TUBE1;TUBG1,0.0449700163318921,0.3333333333333333,JUN,8.196721311419905e-07,0.5081967213114754,TUBA1A;TUBB2A;TUBD1;TUBE1,1.25,1.0,JUN;TUBA1A;TUBB;TUBB2A;TUBD1;TUBE1;TUBG1,0.744,JUN;TUBD1;TUBG1,3,"HALLMARK_MITOTIC_SPINDLE;HALLMARK_MTORC1_SIGNALING;gene
JUN                              HALLMARK_HYPOXIA
JUN                            HALLMARK_APOPTOSIS
JUN    HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
JUN                          HALLMARK_P53_PATHWAY
Name: msigdb_paad_hallmark, dtype: object",CID100013342,True,59,5,Leukopenia;Myelosuppression;Myocardial infarction;Neuropathy peripheral;Thrombocytopenia,0.5454545454545454,,,Approved,0.92,0.0,0.0031160317460317,0.0299800108879281,8.196721311419905e-07,0.744,1.0,1.0,0.1942639047124857,0.4049351136576385,0.6,0.03125,4,2.7517834654668225,Tier 2,PAAD clinical-trial supported candidate,KEEP,Tier 2,paad_research_or_clinical_evidence,,,,,,
6,1809,Teniposide,TOP2A;TOP2B,TOP2A;TOP2B,1.0,0.9234972677595628,True,0.3791941599590642,high_expression_shorter_survival,False,0,-0.2336631,0.2336631,BRD:BRD-A35588707-001-05-5;BRD:BRD-K10362825-001-03-4,44,69,-2.430376345479985,0.855072463768116,True,ENSG00000077097;ENSG00000131747,0.2513295170240817,49,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](c6cccs6)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,DNA replication,screened_candidate,24,TOP2A;TOP2B,0.3767215236966428,0.5,TOP2A;TOP2B,0.673905,0.5,TOP2A;TOP2B,0.4912500000000002,0.5,TOP2A;TOP2B,0.3301960024393526,0.5,,,,TOP2A;TOP2B,3.5,2.0,TOP2A;TOP2B,0.9905,TOP2A,1,"gene
TOP2A    HALLMARK_MITOTIC_SPINDLE
TOP2A     HALLMARK_G2M_CHECKPOINT
TOP2A          HALLMARK_APOPTOSIS
Name: msigdb_paad_hallmark, dtype: object",CID100005396,True,71,13,Arrhythmia;Hepatic function abnormal;Infection;Leukopenia;Liver function test abnormal;Myelosuppression;Neuropathy;Neuropathy peripheral,0.8181818181818182,ames;dili,herg,Caution,0.9,0.1883607618483214,0.388385,0.2201306682929017,0.0,0.9905,0.3333333333333333,0.0,1.0,0.2513295170240817,-0.4,0.08125,8,2.0408895266111924,Excluded,Multi-source external evidence candidate,CAUTION,Tier 4,exclude_or_non_drug,2.0,4.0,7.0,1.0,4.0,4.0
7,1511,Epirubicin,ANTHRACYCLINE;TOP2A;TOP2B,TOP2A;TOP2B,0.6666666666666666,0.9234972677595628,True,0.3791941599590642,high_expression_shorter_survival,False,56,-0.34719956,0.34719956,BRD:BRD-K04548931-003-16-5,44,36,-3.4319838015056385,0.9444444444444444,True,ENSG00000077097;ENSG00000131747,0.2513295170240817,49,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,DNA replication,paad_trial_or_indication,29,TOP2A;TOP2B,0.3767215236966428,0.5,TOP2A;TOP2B,0.673905,0.5,TOP2A;TOP2B,0.4912500000000002,0.5,TOP2A;TOP2B,0.3301960024393526,0.5,,,,TOP2A;TOP2B,3.5,2.0,TOP2A;TOP2B,0.9905,TOP2A,1,"gene
TOP2A    HALLMARK_MITOTIC_SPINDLE
TOP2A     HALLMARK_G2M_CHECKPOINT
TOP2A          HALLMARK_APOPTOSIS
Name: msigdb_paad_hallmark, dtype: object",,False,0,0,,0.6818181818181818,ames;dili,,Caution,0.88,0.1883607618483214,0.388385,0.2201306682929017,0.0,0.9905,0.3333333333333333,1.0,1.0,0.2513295170240817,-0.4,0.0,8,2.5561395266111924,Tier 2,PAAD clinical-trial supported candidate,CAUTION,Tier 2,paad_research_or_clinical_evidence,2.0,4.0,4.0,1.0,7.0,4.0
8,1810,Mitoxantrone,TOP2;TOP2A;TOP2B,TOP2A;TOP2B,0.6666666666666666,0.9234972677595628,True,0.3791941599590642,high_expression_shorter_survival,False,12,-0.45492253,0.45492253,BRD:BRD-K21680192-300-14-4,44,35,-2.9995934021331423,0.9428571428571428,True,ENSG00000077097;ENSG00000131747,0.2513295170240817,49,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,DNA replication,paad_trial_or_indication,24,TOP2A;TOP2B,0.3767215236966428,0.5,TOP2A;TOP2B,0.673905,0.5,TOP2A;TOP2B,0.4912500000000002,0.5,TOP2A;TOP2B,0.3301960024393526,0.5,,,,TOP2A;TOP2B,3.5,2.0,TOP2A;TOP2B,0.9905,TOP2A,1,"gene
TOP2A    HALLMARK_MITOTIC_SPINDLE
TOP2A     HALLMARK_G2M_CHECKPOINT
TOP2A          HALLMARK_APOPTOSIS
Name: msigdb_paad_hallmark, dtype: object",CID100004212,True,177,23,Arrhythmia;Cardiac failure;Cardiac failure congestive;Elevated liver enzyme levels;Febrile neutropenia;Fungal infection;Fungal skin infection;Hepatic enzyme increased,0.5454545454545454,ames;dili,,Caution,0.86,0.1883607618483214,0.388385,0.2201306682929017,0.0,0.9905,0.3333333333333333,1.0,1.0,0.2513295170240817,-0.4,0.14375,8,2.3963895266111925,Tier 2,PAAD clinical-trial supported candidate,CAUTION,Tier 2,paad_research_or_clinical_evidence,,,,,,
9,1024,Lestaurtinib,FLT3;JAK2;NTRK1;NTRK2;NTRK3,FLT3;JAK2;NTRK1;NTRK2;NTRK3,1.0,0.0,False,0.8770016641322167,high_expression_shorter_survival,False,0,-0.58893126,0.58893126,BRD:BRD-A27376179-001-01-3,44,35,-2.867708284293943,0.9714285714285714,True,ENSG00000096968;ENSG00000122025;ENSG00000140538;ENSG00000148053;ENSG00000198400,0.4643052246618058,253,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,Other kinases,paad_trial_or_indication,27,FLT3;JAK2;NTRK1;NTRK2;NTRK3,0.0996331891821351,0.4,FLT3;JAK2;NTRK1;NTRK2;NTRK3,-0.231264,0.2,FLT3;JAK2;NTRK1;NTRK2;NTRK3,-0.1482000000000001,0.0,JAK2;NTRK2,-0.3724323952650987,0.0,,,,FLT3;JAK2;NTRK1;NTRK2;NTRK3,4.4,2.6,FLT3;JAK2;NTRK1;NTRK2;NTRK3,0.9086,,0,,,False,0,0,,0.0,,ames;dili;herg,Candidate,0.84,0.0498165945910675,0.0,0.0,0.0,0.9086,0.0,0.0,1.0,0.4643052246618058,0.4,0.0,3,2.2796606267706667,Tier 3,Exploratory candidate,KEEP,Tier 3,repurposing_candidate,,,,,,
10,1594,OSI-027,MTOR,MTOR,1.0,0.3169398907103825,True,0.7751666628926428,high_expression_shorter_survival,False,0,-0.5906325,0.5906325,BRD:BRD-K87124298-001-03-4,44,36,-0.3381374600010438,0.25,True,ENSG00000198793,0.3187785845769812,441,COc1cccc2cc(-c3nc([C@H]4CC[C@H](C(=O)O)CC4)n4ncnc(N)c34)[nH]c12,PI3K/MTOR signaling,screened_candidate,29,MTOR,-0.4873270513733927,0.0,MTOR,0.1077899999999996,0.0,,,,MTOR,0.1166134761566475,0.0,MTOR,-2.049180327877727e-06,0.5,MTOR,7.0,3.0,MTOR,1.0,,0,,,False,0,0,,0.0,,ames;herg,Candidate,0.82,0.0,0.0718599999999997,0.077742317437765,0.0,1.0,0.0,0.0,0.1690687300005219,0.3187785845769812,0.4,0.0,3,1.847159786766364,Tier 3,Exploratory candidate,KEEP,Tier 3,repurposing_candidate,0.0,0.0,0.0,0.0,22.0,0.0
11,1191,Bortezomib,PROTEASOME;PRSS1;PSMB1;PSMB5,PRSS1;PSMB1;PSMB5,0.75,1.0,True,0.6894576356033888,high_expression_shorter_survival,False,182,-0.7052068,0.7052068,BRD:BRD-K88510285-001-11-1,44,36,-4.023045225297611,0.9722222222222222,True,ENSG00000008018;ENSG00000100804;ENSG00000204983,0.8074782687049359,1088,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,Protein stability and degradation,paad_trial_or_indication,29,PRSS1;PSMB1;PSMB5,-5.896458159874997,0.0,PRSS1;PSMB1;PSMB5,-0.9032299999999998,0.0,PRSS1;PSMB1;PSMB5,0.420333333333333,0.3333333333333333,PRSS1;PSMB1;PSMB5,-0.9141981675422836,0.3333333333333333,,,,PRSS1;PSMB5,4.0,3.0,PRSS1;PSMB1;PSMB5,0.6056666666666667,PSMB5,1,HALLMARK_MTORC1_SIGNALING,CID100093860,True,622,67,Arrhythmia;Aspergillus infection;Autonomic neuropathy;Bacterial infection;Calculus of kidney;Candida infection;Cardiac amyloidosis;Cardiac arrest,0.3181818181818182,dili,herg,Caution,0.8,0.0,0.140111111111111,0.0,0.0,0.6056666666666667,0.3333333333333333,1.0,1.0,0.8074782687049359,-0.4,0.41875,5,1.6719096653616663,Excluded,PAAD clinical-trial supported candidate,CAUTION,Tier 2,paad_research_or_clinical_evidence,,,,,,
12,1086,BI-2536,PLK1;PLK2;PLK3,PLK1;PLK2;PLK3,1.0,0.8360655737704918,True,0.0149276524478698,high_expression_shorter_survival,False,0,-0.8183875,0.8183875,BRD:BRD-K64890080-001-13-8,44,35,-2.0014917092402285,0.7428571428571429,True,ENSG00000145632;ENSG00000166851;ENSG00000173846,0.1118449915017115,55,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1,Cell cycle,screened_candidate,27,PLK1;PLK2;PLK3,0.1513968766264923,0.3333333333333333,PLK1;PLK2;PLK3,0.4120066666666668,1.0,PLK1;PLK2;PLK3,0.4679999999999997,0.6666666666666666,PLK1,-0.1116708199767479,0.0,,,,PLK1;PLK2;PLK3,1.6666666666666667,1.3333333333333333,PLK1;PLK2;PLK3,0.9253333333333332,PLK1;PLK2;PLK3,2,"HALLMARK_P53_PATHWAY;gene
PLK1     HALLMARK_MITOTIC_SPINDLE
PLK1      HALLMARK_G2M_CHECKPOINT
PLK1    HALLMARK_MTORC1_SIGNALING
Name: msigdb_paad_hallmark, dtype: object",,False,0,0,,0.0909090909090909,,dili;herg,Candidate,0.78,0.0756984383132461,0.2933355555555555,0.0,0.0,0.9253333333333332,0.6666666666666666,0.0,1.0,0.1118449915017115,0.4,0.0,7,2.5399572190485893,Tier 2,Multi-source external evidence candidate,KEEP,Tier 3,repurposing_candidate,0.0,0.0,2.0,0.0,20.0,0.0
