phase,model,evaluation,fold,train_rows,valid_rows,train_spearman,train_rmse,valid_spearman,valid_rmse,spearman_gap,rmse_gap
phase2a,RandomForest,holdout,1,15443,3861,0.9999999999999998,0.0,1.0,0.0,-2.220446049250313e-16,0.0
phase2a,RandomForest,drug_groupcv,1,12768,6536,1.0,0.0,0.7832126580898,2.2241458708294277,0.2167873419102,2.2241458708294277
phase2a,RandomForest,drug_groupcv,2,12920,6384,1.0,0.0,0.8919422856802859,1.5963088271815933,0.10805771431971412,1.5963088271815933
phase2a,RandomForest,drug_groupcv,3,12920,6384,1.0,0.0,0.6320418440902428,2.6422962321902057,0.3679581559097572,2.6422962321902057
phase2a,RandomForest,scaffoldcv,1,12768,6536,1.0,0.0,0.8077155964863489,1.8397487593548174,0.19228440351365106,1.8397487593548174
phase2a,RandomForest,scaffoldcv,2,12920,6384,1.0,0.0,0.8123708164080133,1.8858322208728462,0.18762918359198666,1.8858322208728462
phase2a,RandomForest,scaffoldcv,3,12920,6384,1.0,0.0,0.41446116037681197,2.8887346082564025,0.585538839623188,2.8887346082564025
phase2a,ExtraTrees,holdout,1,15443,3861,0.9999999999999998,0.0,0.9999790003176428,0.003982952970274479,2.0999682357025762e-05,0.003982952970274479
phase2a,ExtraTrees,drug_groupcv,1,12768,6536,1.0,0.0,0.9298848464411706,1.1750073127278993,0.07011515355882936,1.1750073127278993
phase2a,ExtraTrees,drug_groupcv,2,12920,6384,1.0,0.0,0.9576917125381663,1.0916050691000134,0.04230828746183368,1.0916050691000134
phase2a,ExtraTrees,drug_groupcv,3,12920,6384,1.0,0.0,0.8370001222380117,1.822551829185664,0.16299987776198832,1.822551829185664
phase2a,ExtraTrees,scaffoldcv,1,12768,6536,1.0,0.0,0.8836929609546795,1.2926564976459602,0.11630703904532047,1.2926564976459602
phase2a,ExtraTrees,scaffoldcv,2,12920,6384,1.0,0.0,0.9304643842859394,1.2562238612847407,0.06953561571406064,1.2562238612847407
phase2a,ExtraTrees,scaffoldcv,3,12920,6384,1.0,0.0,0.8436790951527333,1.678063691205692,0.15632090484726668,1.678063691205692
phase2a,LightGBM,holdout,1,15443,3861,0.9998461495310514,0.017835932231784396,0.9998513007781462,0.018321975264548547,-5.151247094770106e-06,0.000486043032764151
phase2a,LightGBM,drug_groupcv,1,12768,6536,0.9998987487366646,0.013800427474168462,0.8311119554922465,2.049886847394976,0.16878679324441814,2.0360864199208075
phase2a,LightGBM,drug_groupcv,2,12920,6384,0.9998973957479674,0.01481454701418701,0.9087372614233178,1.5018265858095687,0.09116013432464964,1.4870120387953818
phase2a,LightGBM,drug_groupcv,3,12920,6384,0.9997605780290623,0.014948394055261428,0.6968395461912481,2.324905746236804,0.30292103183781416,2.309957352181543
phase2a,LightGBM,scaffoldcv,1,12768,6536,0.9999443129611152,0.014089159058280124,0.8257027446650136,1.7540293647164356,0.1742415682961016,1.7399402056581554
phase2a,LightGBM,scaffoldcv,2,12920,6384,0.9998631917361407,0.014913034183232948,0.8293552707705237,1.889002816618045,0.17050792096561695,1.8740897824348122
phase2a,LightGBM,scaffoldcv,3,12920,6384,0.9996677294398008,0.014808718280577343,0.5915721251191004,2.326142786898685,0.40809560432070036,2.3113340686181076
phase2a,XGBoost,holdout,1,15443,3861,0.9996570120547935,0.056859696634901945,0.9996471687774047,0.05832125756870428,9.843277388843497e-06,0.0014615609338023347
phase2a,XGBoost,drug_groupcv,1,12768,6536,0.9997818667182339,0.037706417343394465,0.8271869199899341,1.8991205915440887,0.17259494672829978,1.8614141742006942
phase2a,XGBoost,drug_groupcv,2,12920,6384,0.9997359217961163,0.04211032483037544,0.8877124631884525,1.5722392787023332,0.11202345860766372,1.5301289538719578
phase2a,XGBoost,drug_groupcv,3,12920,6384,0.9997303259530913,0.0259289836901625,0.6940048419225439,2.30187310432853,0.30572548403054745,2.2759441206383673
phase2a,XGBoost,scaffoldcv,1,12768,6536,0.9997433188752273,0.045575452306900334,0.8667760023394301,1.5667040464789463,0.1329673165357972,1.521128594172046
phase2a,XGBoost,scaffoldcv,2,12920,6384,0.9997025826141804,0.04998208698853293,0.8254324648082862,1.817967481405967,0.1742701178058942,1.767985394417434
phase2a,XGBoost,scaffoldcv,3,12920,6384,0.9995812853778363,0.04090537375245842,0.7062759356305386,1.9031305160715404,0.2933053497472977,1.8622251423190819
phase2a,CatBoost,holdout,1,15443,3861,0.9940295938880724,0.27713245153944444,0.9939054364077469,0.27783345321195624,0.00012415748032557072,0.0007010016725118029
phase2a,CatBoost,drug_groupcv,1,12768,6536,0.9975721235162526,0.1754393279682649,0.8634710613051096,1.6360094185656282,0.13410106221114293,1.4605700905973633
phase2a,CatBoost,drug_groupcv,2,12920,6384,0.9956679915393513,0.18086095735211438,0.9366806645655199,1.330280770351724,0.058987326973831355,1.1494198129996098
phase2a,CatBoost,drug_groupcv,3,12920,6384,0.9978414473417193,0.14209944890860038,0.7574010926778738,2.09911025471801,0.2404403546638455,1.9570108058094093
phase2a,CatBoost,scaffoldcv,1,12768,6536,0.9980504472452142,0.1708102443060328,0.8501448786672243,1.5511899576429173,0.14790556857798987,1.3803797133368845
phase2a,CatBoost,scaffoldcv,2,12920,6384,0.9978190191852431,0.1501664196902025,0.8824468307692278,1.5302023137647294,0.11537218841601526,1.3800358940745268
phase2a,CatBoost,scaffoldcv,3,12920,6384,0.9976274672756351,0.15213920166110562,0.8398595530181643,1.6792972002374236,0.15776791425747083,1.527157998576318
phase2b,RandomForest,holdout,1,15443,3861,0.9999999999999998,0.0,1.0,0.0,-2.220446049250313e-16,0.0
phase2b,RandomForest,drug_groupcv,1,12768,6536,1.0,0.0,0.6323818172389278,2.6488572953833125,0.36761818276107217,2.6488572953833125
phase2b,RandomForest,drug_groupcv,2,12920,6384,1.0,0.0,0.7091100874235289,2.6146108442220486,0.2908899125764711,2.6146108442220486
phase2b,RandomForest,drug_groupcv,3,12920,6384,1.0,0.0,0.37000121581360845,3.633568267158427,0.6299987841863915,3.633568267158427
phase2b,RandomForest,scaffoldcv,1,12768,6536,1.0,0.0,0.6019946444771551,2.529261522064259,0.3980053555228449,2.529261522064259
phase2b,RandomForest,scaffoldcv,2,12920,6384,1.0,0.0,0.6634790761773011,2.545682884296682,0.33652092382269894,2.545682884296682
phase2b,RandomForest,scaffoldcv,3,12920,6384,1.0,0.0,0.5813849836613696,2.447104746409137,0.4186150163386304,2.447104746409137
phase2b,ExtraTrees,holdout,1,15443,3861,0.9999999999999998,0.0,1.0,0.0,-2.220446049250313e-16,0.0
phase2b,ExtraTrees,drug_groupcv,1,12768,6536,1.0,0.0,0.8623749347375481,1.8842992731256158,0.13762506526245188,1.8842992731256158
phase2b,ExtraTrees,drug_groupcv,2,12920,6384,1.0,0.0,0.8561355415995813,2.1476779880506864,0.14386445840041873,2.1476779880506864
phase2b,ExtraTrees,drug_groupcv,3,12920,6384,1.0,0.0,0.7088853779976887,2.1589459444294024,0.2911146220023113,2.1589459444294024
phase2b,ExtraTrees,scaffoldcv,1,12768,6536,1.0,0.0,0.7269294409084318,2.389527250306528,0.2730705590915682,2.389527250306528
phase2b,ExtraTrees,scaffoldcv,2,12920,6384,1.0,0.0,0.797520164731992,2.251925722539086,0.20247983526800795,2.251925722539086
phase2b,ExtraTrees,scaffoldcv,3,12920,6384,1.0,0.0,0.778282012279978,1.9279380233528587,0.22171798772002205,1.9279380233528587
phase2b,LightGBM,holdout,1,15443,3861,0.9998955171060068,0.008095513912047473,0.9999036382258022,0.008102256211303229,-8.121119795423404e-06,6.742299255756146e-06
phase2b,LightGBM,drug_groupcv,1,12768,6536,0.9999189996454907,0.007841710857718304,0.7762884701490365,2.1025921526760825,0.22363052949645423,2.094750441818364
phase2b,LightGBM,drug_groupcv,2,12920,6384,0.9999218253773173,0.0075643788935341695,0.7889447469402937,2.2183436667489262,0.21097707843702362,2.210779287855392
phase2b,LightGBM,drug_groupcv,3,12920,6384,0.9998631903992349,0.007876632555123013,0.5293140476772866,2.893160178403501,0.47054914272194825,2.885283545848378
phase2b,LightGBM,scaffoldcv,1,12768,6536,0.9999443129611152,0.007650947892118315,0.7446078330485869,2.151474582291606,0.2553364799125283,2.1438236343994874
phase2b,LightGBM,scaffoldcv,2,12920,6384,0.9998631917361407,0.007581823563181706,0.7340141040395222,2.34088162657763,0.2658490876966185,2.3332998030144485
phase2b,LightGBM,scaffoldcv,3,12920,6384,0.9997898909817198,0.008042417363533373,0.7059967608270687,1.9938685665314209,0.293793130154651,1.9858261491678875
phase2b,XGBoost,holdout,1,15443,3861,0.999881499551118,0.0247589910897259,0.9998837579303596,0.024972091348255916,-2.2583792415042936e-06,0.00021310025853001416
phase2b,XGBoost,drug_groupcv,1,12768,6536,0.9999139377768536,0.012470349640898961,0.7510666463134549,2.0834582751233426,0.24884729146339868,2.0709879254824437
phase2b,XGBoost,drug_groupcv,2,12920,6384,0.9999169400721188,0.013836322050797437,0.8212838628257652,2.0346288647373343,0.1786330772463537,2.0207925426865367
phase2b,XGBoost,drug_groupcv,3,12920,6384,0.9997605780290623,0.010839921627450172,0.5503018520784527,2.7798507096064156,0.44945872595060954,2.7690107879789654
phase2b,XGBoost,scaffoldcv,1,12768,6536,0.9999443129611152,0.012289586577485329,0.7729385896834511,2.034633584556736,0.2270057232776641,2.0223439979792506
phase2b,XGBoost,scaffoldcv,2,12920,6384,0.9998631917361407,0.012412406670298115,0.7839863909782839,2.138809286965695,0.21587680075785676,2.1263968802953968
phase2b,XGBoost,scaffoldcv,3,12920,6384,0.9998338716207065,0.01351743302070029,0.8398703431142953,1.8017504309605124,0.15996352850641116,1.7882329979398122
phase2b,CatBoost,holdout,1,15443,3861,0.999061664713992,0.10944755258827853,0.9990263025462084,0.10945471041855465,3.536216778365908e-05,7.157830276119381e-06
phase2b,CatBoost,drug_groupcv,1,12768,6536,0.999508921650649,0.05152092851234382,0.8628280213932773,1.9230192053986483,0.13668090025737167,1.8714982768863044
phase2b,CatBoost,drug_groupcv,2,12920,6384,0.9996525881210212,0.05675377527592468,0.8568913521393644,2.0735397695524806,0.1427612359816568,2.016785994276556
phase2b,CatBoost,drug_groupcv,3,12920,6384,0.9995755662158534,0.04017639730670934,0.6378058645485942,2.5773363895207404,0.3617697016672592,2.537159992214031
phase2b,CatBoost,scaffoldcv,1,12768,6536,0.9996656746385157,0.04286914714673719,0.7218339771873276,2.2866898237910314,0.2778316974511882,2.2438206766442943
phase2b,CatBoost,scaffoldcv,2,12920,6384,0.9994941369107145,0.05541196717114981,0.8205917037485445,2.0716299600523422,0.17890243316217003,2.0162179928811925
phase2b,CatBoost,scaffoldcv,3,12920,6384,0.9994560833412229,0.054730064693705935,0.8682677020538252,1.640006216509984,0.13118838128739774,1.5852761518162781
